Nom_Barri,Activitats de la construcció,Activitats de transport ,Activitats de transport i emmagatzematge,Activitats emmagatzematge,Activitats immobiliàries,Activitats industrials,Administració,Agències de viatge,Altres,Altres ( per exemple VENDING),Altres equipaments esportius,Aparells domèstics,Arranjaments,Arts gràfiques,Associacions,Autoservei / Supermercat,Bars   / CIBERCAFÈ,Bars especials amb actuació / Bars musicals / Discoteques /PUB,Basars,Begudes,Calçat i pell,Carn i Porc,Centres d'estètica,Combustibles i carburants,Drogueria i perfumeria,En reforma,Ensenyament,Equipaments culturals i recreatius,Equipaments religiosos,Esports,Fabricació tèxtil,Farmàcies PARAFARMÀCIA,Finances i assegurances,Floristeries,Fotografia,Fruites i verdures,Gimnàs /fitnes,Grans magatzems i hipermercats,"Herbolaris, dietètica i NUTRICIÓ",Informàtica,Joguines i esports,"Joieria, rellotgeria i bijuteria","Llibres, diaris i revistes",Locals buits en lloguer,Locals buits en venda,Locals buits en venda i lloguer,Locutoris,"Manteniment, neteja i similars",Maquinària,Material equipament llar,Merceria,Mobles i articles fusta i metall,Música,Ous i aus,"Pa, pastisseria i làctics",Parament ferreteria,Peix i marisc,Perruqueries,Plats preparats (no degustació),Pàrquings i garatges,Reparacions (Electrodomèstics i automòbils),Restaurants,Sanitat i assistència,"Segells, monedes i antiguitats",Sense informació,Sense informació - Havia tingut activitat (rètol),Serveis Socials,Serveis a les empreses i oficines,Serveis de menjar take away MENJAR RÀPID,Serveis de telecomunicacions,Souvenirs,Souvenirs i basars,Tabac i articles fumadors,Tintoreries,Vehicles,Vestir,Veterinaris / Mascotes,Xocolateries / Geladeries / Degustació,altres,serveis d'allotjament,serveis de menjar i begudes,Òptiques ,Òptiques i fotografia
Baró de Viver,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,29,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can Baró,9,2,0,7,0,4,0,1,0,0,3,0,2,2,0,11,0,0,1,1,0,2,2,1,2,0,3,2,0,0,0,6,1,1,0,2,0,0,0,1,0,0,1,2,6,4,0,0,0,0,0,0,0,0,5,1,3,6,0,0,7,18,2,0,134,25,5,15,1,0,0,0,2,1,0,2,2,0,0,0,0,1,0
Can Peguera,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyelles,1,0,0,1,1,0,0,0,8,0,0,0,0,1,1,5,1,0,1,0,1,8,1,1,1,0,5,2,3,0,0,4,3,0,0,5,1,0,1,0,0,0,0,2,3,2,0,1,0,0,0,0,0,3,3,1,3,5,0,0,5,16,1,0,56,6,3,2,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0
Ciutat Meridiana,1,1,0,0,1,0,3,0,9,0,3,1,0,0,1,8,1,0,2,0,0,5,0,0,2,1,6,1,3,0,0,4,8,0,1,6,0,1,1,2,0,1,1,5,3,1,1,0,0,0,1,1,0,1,4,1,2,12,0,1,3,16,3,0,36,32,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0
Diagonal Mar i el Front Marítim del Poblenou,13,0,0,1,5,0,2,2,19,0,4,1,2,2,5,10,38,0,3,1,13,3,11,2,8,2,18,6,2,0,0,8,9,1,2,5,3,0,2,3,7,14,1,2,3,5,0,2,0,2,1,2,0,0,14,1,0,14,0,0,3,53,12,0,44,10,1,25,23,4,0,0,2,3,0,46,2,1,0,12,0,7,0
Horta,39,0,0,23,14,1,6,1,50,0,4,3,9,3,12,24,70,1,6,1,10,26,14,2,16,4,32,14,7,0,2,19,12,3,5,22,4,0,12,11,5,6,6,19,2,7,1,5,1,10,3,15,2,11,21,5,14,47,2,4,17,24,27,0,257,63,22,21,9,2,0,0,5,6,0,51,10,0,1,3,0,6,0
Hostafrancs,22,8,0,14,12,10,4,4,29,0,1,4,10,7,19,33,47,1,8,3,12,22,17,1,13,11,20,10,5,0,0,9,15,2,3,22,4,0,5,10,4,5,5,20,6,16,4,5,0,13,1,6,1,9,18,5,9,40,3,6,12,82,25,3,85,80,1,50,14,4,1,0,6,3,3,47,4,3,0,12,0,3,0
Montbau,5,0,0,0,2,0,1,1,4,0,4,0,1,0,3,4,0,0,0,0,0,1,1,0,0,0,10,2,3,0,0,5,4,0,0,1,0,0,1,0,0,0,1,1,4,0,0,1,0,0,1,0,0,0,4,0,0,4,0,0,1,16,12,0,46,11,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Navas,31,6,0,9,12,1,1,2,13,1,2,4,8,6,7,23,4,5,11,3,2,7,15,0,7,7,14,4,2,0,0,10,6,5,2,9,1,0,3,8,1,6,7,18,6,6,2,5,1,21,2,7,0,0,18,5,3,36,0,3,28,82,15,0,89,37,5,21,4,6,0,0,2,3,7,15,6,0,0,0,0,1,0
